State,District,Year,Quarter,RegisteredUsers,S.no,Appopens
andhra-pradesh,"krishna district",2022,3,2685215,302,86220959
andhra-pradesh,"spsr nellore district",2022,3,1588875,303,105928407
andhra-pradesh,"vizianagaram district",2022,3,995141,304,46767889
andhra-pradesh,"ysr district",2022,3,1487140,305,107976611
andhra-pradesh,"west godavari district",2022,3,1805967,306,97509407
andhra-pradesh,"chittoor district",2022,3,2517657,307,162524274
andhra-pradesh,"east godavari district",2022,4,2835087,308,173720880
andhra-pradesh,"srikakulam district",2022,4,1204785,309,72666058
andhra-pradesh,"visakhapatnam district",2022,4,3566854,310,208604256
andhra-pradesh,"prakasam district",2022,4,1642503,311,94432083
andhra-pradesh,"anantapur district",2022,4,2128066,312,136685634
andhra-pradesh,"kurnool district",2022,4,2018290,313,105333688
andhra-pradesh,"guntur district",2022,4,2774365,314,144773169
andhra-pradesh,"krishna district",2022,4,2813645,315,156902257
andhra-pradesh,"spsr nellore district",2022,4,1663684,316,103101986
andhra-pradesh,"vizianagaram district",2022,4,1044490,317,64406405
andhra-pradesh,"ysr district",2022,4,1556901,318,93975668
andhra-pradesh,"west godavari district",2022,4,1893310,319,129116752
andhra-pradesh,"chittoor district",2022,4,2636036,320,189655966
arunachal-pradesh,"lower subansiri district",2018,1,498,321,0
arunachal-pradesh,"tirap district",2018,1,557,322,0
arunachal-pradesh,"papum pare district",2018,1,7649,323,0
arunachal-pradesh,"anjaw district",2018,1,278,324,0
arunachal-pradesh,"lower siang district",2018,1,270,325,0
arunachal-pradesh,"dibang valley district",2018,1,66,326,0
arunachal-pradesh,"west kameng district",2018,1,2202,327,0
arunachal-pradesh,"shi yomi district",2018,1,49,328,0
arunachal-pradesh,"east kameng district",2018,1,222,329,0
arunachal-pradesh,"lohit district",2018,1,1207,330,0
arunachal-pradesh,"lepa rada district",2018,1,210,331,0
arunachal-pradesh,"lower dibang valley district",2018,1,601,332,0
arunachal-pradesh,"longding district",2018,1,256,333,0
arunachal-pradesh,"west siang district",2018,1,846,334,0
arunachal-pradesh,"kamle district",2018,1,22,335,0
arunachal-pradesh,"upper siang district",2018,1,301,336,0
arunachal-pradesh,"kurung kumey district",2018,1,97,337,0
arunachal-pradesh,"siang district",2018,1,192,338,0
arunachal-pradesh,"kra daadi district",2018,1,88,339,0
arunachal-pradesh,"changlang district",2018,1,1208,340,0
arunachal-pradesh,"pakke kessang district",2018,1,39,341,0
arunachal-pradesh,"east siang district",2018,1,1803,342,0
arunachal-pradesh,"upper subansiri district",2018,1,572,343,0
arunachal-pradesh,"tawang district",2018,1,1525,344,0
arunachal-pradesh,"namsai district",2018,1,737,345,0
arunachal-pradesh,"lower subansiri district",2018,2,724,346,0
